# {"t_start": 1554362471.3557537, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
400.0,611,14.316169
0.0,444,15.619243
0.0,281,16.436769
200.0,363,17.640225
0.0,479,19.059159
0.0,664,21.001426
200.0,537,22.605275
0.0,407,23.786036
0.0,397,24.910782
0.0,436,26.229566
0.0,564,27.891927
0.0,530,29.436503
0.0,379,30.53683
0.0,420,31.777627
0.0,543,33.372699
0.0,424,34.614061
0.0,450,35.946734
0.0,612,37.760398
0.0,666,39.706524
200.0,480,41.141124
200.0,484,42.581929
200.0,540,47.579359
0.0,558,52.553541
0.0,370,55.877514
200.0,463,60.025689
400.0,538,64.837852
200.0,406,68.446997
0.0,501,72.920292
200.0,413,76.567309
0.0,411,80.207718
600.0,496,84.63449
0.0,495,89.083337
0.0,484,93.37212
0.0,610,98.823541
0.0,346,101.908695
0.0,282,104.368309
0.0,602,109.781794
0.0,408,113.437717
0.0,363,116.652356
0.0,539,121.511212
0.0,579,126.70837
0.0,423,130.480198
0.0,296,133.070925
0.0,568,138.16818
200.0,415,141.893145
400.0,535,146.689736
200.0,432,150.536556
0.0,414,154.223651
0.0,455,158.286664
0.0,473,162.528209
0.0,285,165.050081
0.0,540,169.88417
0.0,422,173.655972
0.0,342,176.701276
200.0,503,181.17475
0.0,465,185.385348
0.0,544,190.297595
0.0,537,195.140341
0.0,286,197.700256
0.0,474,201.911058
0.0,545,206.807579
0.0,491,211.218609
0.0,463,215.360164
0.0,530,220.141068
0.0,543,224.99998
0.0,527,229.749544
0.0,620,235.347901
200.0,537,240.175708
0.0,488,244.570786
0.0,353,247.725255
0.0,358,250.948946
200.0,536,255.813784
200.0,549,260.75727
200.0,469,264.983465
200.0,532,269.764343
200.0,544,274.707957
0.0,406,278.386201
0.0,315,281.193264
0.0,355,284.347638
200.0,474,288.611638
0.0,597,293.956058
0.0,477,298.204283
200.0,356,301.374638
400.0,593,306.741384
200.0,480,311.036607
0.0,413,314.692457
200.0,604,320.121662
200.0,478,324.385611
0.0,480,328.658555
0.0,409,332.305343
0.0,430,336.130515
200.0,422,339.908791
0.0,414,343.617917
200.0,405,347.226523
0.0,486,351.599813
200.0,471,355.810414
0.0,484,360.152387
0.0,731,366.722484
0.0,413,370.431936
0.0,613,375.960793
0.0,422,379.723616
0.0,285,382.261136
0.0,521,386.941625
400.0,626,392.555676
0.0,489,396.951073
0.0,302,399.635741
0.0,348,402.727919
200.0,474,407.023154
0.0,474,411.302655
0.0,374,414.689009
200.0,561,419.739427
0.0,422,423.53327
0.0,486,427.906277
0.0,538,432.740576
0.0,491,437.151648
200.0,443,441.177381
0.0,486,445.518939
0.0,539,450.346602
200.0,474,454.657465
0.0,433,458.55164
0.0,737,465.237089
0.0,471,469.510223
0.0,437,473.473099
0.0,744,480.274716
0.0,408,483.968496
0.0,371,487.308102
0.0,409,491.017292
0.0,350,494.193978
0.0,422,498.003546
0.0,352,501.189368
0.0,411,504.898736
200.0,411,508.57666
0.0,480,512.918752
0.0,531,517.646083
0.0,489,522.025899
0.0,427,525.803808
0.0,350,528.927212
0.0,537,533.723622
0.0,498,538.150216
0.0,404,541.727939
0.0,478,546.022868
0.0,479,550.312057
0.0,480,554.591302
0.0,410,558.215996
0.0,463,562.341934
0.0,415,566.035761
200.0,468,570.199502
0.0,404,573.792926
0.0,473,578.019165
200.0,499,582.530046
0.0,282,585.083249
0.0,519,589.747993
0.0,477,594.043101
0.0,275,596.496036
200.0,422,600.289624
0.0,412,603.929748
0.0,499,608.409755
0.0,542,613.337719
0.0,430,617.178428
200.0,429,621.056968
0.0,482,625.352185
200.0,405,628.977028
0.0,369,632.25402
0.0,400,635.809716
200.0,526,640.506035
0.0,506,645.048635
0.0,410,648.711163
0.0,370,652.003922
200.0,470,656.17665
0.0,475,660.409233
0.0,470,664.597638
0.0,666,670.565947
0.0,474,674.807461
0.0,496,679.218483
200.0,505,683.76091
0.0,439,687.639433
0.0,835,695.142919
200.0,727,701.659168
200.0,404,705.268238
200.0,675,711.383701
200.0,494,715.794585
0.0,358,718.971457
200.0,490,723.344554
0.0,305,726.004434
0.0,418,729.729417
0.0,521,734.372212
0.0,418,738.096957
0.0,339,741.126784
0.0,415,744.836045
0.0,402,748.445051
400.0,503,752.918734
0.0,349,756.041818
0.0,598,761.377341
0.0,535,766.17371
0.0,533,771.032411
200.0,730,777.548605
0.0,467,781.712366
0.0,513,786.323893
0.0,398,789.879478
0.0,488,794.29046
0.0,498,798.786167
0.0,725,805.286732
0.0,604,810.66265
0.0,476,814.927054
0.0,499,819.385038
0.0,611,824.852139
0.0,364,828.107074
0.0,487,832.455827
0.0,556,837.452647
200.0,486,841.778682
200.0,688,847.956332
0.0,419,851.665486
200.0,361,854.873648
0.0,850,862.546186
0.0,655,868.445406
0.0,546,873.304279
0.0,620,878.871109
0.0,569,883.968415
0.0,536,888.726987
0.0,425,892.536486
0.0,663,898.498204
0.0,451,902.477207
0.0,492,906.88791
0.0,328,909.779699
0.0,476,914.043532
0.0,398,917.583464
0.0,654,923.429374
0.0,476,927.671151
0.0,664,933.638695
0.0,650,939.437516
0.0,484,943.763883
0.0,558,948.745217
200.0,668,954.691394
0.0,492,959.071048
