# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554416477.9348264} 
r,l,t
80.0,637,60.175322
140.0,662,62.783709
20.0,416,64.774585
40.0,440,66.987341
120.0,518,69.108463
40.0,487,71.685442
60.0,468,73.499115
40.0,413,75.316454
140.0,776,78.825585
80.0,688,81.741454
80.0,466,83.58196
100.0,652,86.547431
80.0,557,88.921178
40.0,374,90.361833
80.0,488,92.239034
20.0,362,94.188293
60.0,501,96.184076
100.0,585,98.480339
40.0,443,100.168638
100.0,684,111.481407
180.0,762,120.276516
80.0,375,124.658452
40.0,412,129.836893
20.0,346,134.113072
100.0,553,141.119426
0.0,328,145.090356
200.0,748,154.539574
260.0,899,165.862348
0.0,343,170.324276
120.0,654,178.846641
120.0,559,185.521403
100.0,623,192.885808
0.0,352,197.046034
40.0,445,202.530513
60.0,546,208.922106
60.0,504,215.240944
120.0,543,222.299058
80.0,592,229.51472
220.0,906,240.230052
80.0,494,246.625941
160.0,683,255.427616
220.0,723,264.751052
0.0,351,269.018403
40.0,433,274.096288
140.0,620,281.566659
60.0,450,287.068484
0.0,285,290.544256
80.0,511,296.794639
260.0,1039,309.139063
60.0,466,314.746178
60.0,473,320.420059
0.0,318,324.563263
120.0,645,332.339118
40.0,441,337.328344
100.0,496,342.996424
40.0,422,347.794813
40.0,454,352.963602
60.0,435,357.867916
140.0,549,364.338269
340.0,1058,376.421512
120.0,612,383.438739
20.0,338,387.262235
20.0,437,392.218631
40.0,469,397.49176
80.0,474,402.882993
60.0,505,408.62536
0.0,322,412.234127
100.0,574,418.783243
160.0,775,427.656877
60.0,499,433.343452
20.0,349,437.276311
220.0,881,447.411356
120.0,515,453.272588
160.0,609,460.215207
140.0,659,467.737096
40.0,408,472.371072
60.0,500,478.573556
80.0,506,485.30489
120.0,608,492.365584
80.0,448,497.974051
180.0,748,507.776573
100.0,680,517.053592
0.0,362,521.302374
100.0,539,527.723813
120.0,716,536.473159
100.0,759,545.619043
240.0,811,555.256328
100.0,631,562.727255
0.0,382,567.39966
140.0,679,576.600982
20.0,358,580.605368
0.0,339,584.398485
100.0,575,590.968842
20.0,389,595.376629
140.0,741,603.812114
100.0,434,608.764389
100.0,565,615.193859
60.0,412,619.875584
20.0,404,624.438948
60.0,423,629.278912
0.0,341,633.328743
60.0,483,638.81597
120.0,651,646.384067
240.0,885,656.507378
260.0,969,668.380364
240.0,891,679.136851
60.0,643,687.341598
120.0,641,694.859031
80.0,604,701.956728
140.0,649,709.915774
40.0,396,714.534168
60.0,464,719.921079
0.0,316,723.871155
60.0,481,729.307178
20.0,362,733.384545
120.0,598,740.462561
80.0,531,746.54662
80.0,498,752.541346
180.0,627,760.390838
220.0,1021,772.39958
160.0,712,780.788802
60.0,430,785.698786
140.0,790,794.915341
160.0,582,801.701808
120.0,592,808.818384
140.0,590,816.733508
120.0,576,824.298673
0.0,328,828.320172
80.0,537,834.974631
80.0,469,840.527991
260.0,908,851.352119
60.0,498,857.190885
80.0,488,862.892915
40.0,377,867.391017
60.0,457,872.772962
120.0,414,877.448692
60.0,487,883.062861
60.0,483,888.737422
180.0,839,898.796538
60.0,472,904.594898
40.0,498,911.229986
120.0,696,920.737214
140.0,681,928.912117
0.0,301,932.498335
80.0,609,939.743216
160.0,712,949.036152
240.0,756,960.309721
200.0,800,971.69182
100.0,459,978.947674
100.0,581,986.491943
120.0,600,994.741261
140.0,690,1003.54045
420.0,1473,1024.05126
80.0,454,1029.706325
200.0,774,1040.777002
140.0,559,1049.359875
140.0,887,1060.265029
40.0,418,1065.630716
180.0,800,1075.523767
80.0,513,1081.79174
20.0,322,1085.6156
60.0,529,1091.912663
40.0,358,1096.016437
20.0,375,1100.289446
100.0,553,1106.973729
80.0,603,1114.425283
60.0,597,1121.883254
20.0,374,1126.63684
80.0,473,1132.302913
100.0,492,1138.074514
220.0,895,1148.757248
100.0,599,1155.900304
80.0,414,1160.911063
20.0,399,1165.728433
0.0,356,1169.903777
60.0,378,1174.396784
20.0,422,1179.365027
200.0,806,1189.045611
120.0,531,1195.369628
100.0,503,1201.359507
140.0,604,1208.928511
80.0,552,1215.847335
140.0,556,1222.233443
120.0,602,1229.191754
20.0,378,1233.482671
200.0,819,1242.990659
80.0,462,1248.303556
140.0,751,1257.626161
100.0,519,1263.705298
20.0,366,1267.96605
160.0,578,1274.760939
120.0,616,1282.03412
140.0,513,1288.039917
140.0,735,1296.793443
100.0,519,1302.906834
80.0,497,1308.753433
160.0,665,1316.565786
200.0,856,1326.702171
40.0,416,1331.56024
200.0,675,1339.538543
60.0,485,1345.24543
100.0,581,1352.141366
20.0,370,1356.42427
0.0,336,1360.297496
80.0,440,1365.43615
100.0,581,1372.283816
60.0,479,1378.287647
260.0,949,1390.65926
80.0,468,1396.215173
80.0,420,1401.348515
80.0,471,1407.062659
120.0,536,1413.652124
60.0,438,1419.003552
100.0,629,1426.653605
160.0,817,1436.655228
120.0,547,1443.224832
200.0,696,1451.61631
140.0,512,1457.794342
80.0,473,1463.607504
160.0,690,1471.877334
0.0,290,1475.342268
240.0,791,1484.886111
280.0,924,1496.053732
100.0,551,1502.667413
180.0,785,1512.182745
180.0,807,1522.023478
220.0,809,1531.807296
120.0,543,1538.413629
20.0,378,1542.999718
180.0,798,1552.712544
100.0,540,1559.329812
40.0,421,1564.460562
120.0,731,1573.340081
100.0,561,1580.168169
60.0,446,1585.575951
40.0,503,1591.693182
140.0,612,1599.084735
40.0,406,1603.972073
60.0,439,1609.252832
60.0,448,1614.667837
120.0,597,1622.192843
100.0,456,1627.637529
160.0,852,1639.210375
160.0,603,1646.757314
60.0,429,1651.819587
80.0,478,1657.467127
40.0,392,1662.10554
20.0,384,1666.628778
120.0,658,1674.431721
120.0,652,1682.380423
140.0,656,1690.180512
200.0,908,1701.164773
60.0,496,1707.202245
120.0,507,1713.251853
80.0,457,1718.884942
80.0,656,1727.564682
0.0,327,1731.433621
320.0,1247,1747.327158
120.0,485,1753.200712
200.0,725,1762.682799
80.0,524,1769.141777
200.0,714,1777.823926
220.0,893,1788.485205
120.0,673,1796.456957
120.0,710,1805.476172
100.0,569,1812.216212
120.0,607,1819.472258
180.0,706,1829.613232
60.0,601,1837.215113
140.0,637,1845.05792
200.0,769,1854.411565
100.0,493,1860.514867
0.0,312,1864.524164
120.0,553,1871.361047
40.0,356,1875.413741
160.0,743,1883.89229
100.0,490,1889.784768
240.0,977,1901.829925
260.0,908,1912.660762
20.0,421,1917.60162
160.0,819,1927.962302
60.0,403,1932.671519
100.0,621,1939.921103
140.0,620,1947.046043
320.0,1135,1961.186853
260.0,862,1971.175236
100.0,576,1977.797414
40.0,391,1982.290251
0.0,286,1985.462078
40.0,376,1989.674618
80.0,420,1994.510271
120.0,661,2002.185786
60.0,476,2007.605786
260.0,1155,2021.025012
60.0,462,2026.442312
120.0,663,2034.21491
160.0,666,2041.957735
100.0,468,2047.262972
140.0,571,2053.861477
80.0,480,2059.312214
20.0,357,2063.41974
200.0,639,2070.947876
80.0,577,2077.683344
100.0,521,2084.794816
60.0,459,2090.209592
120.0,498,2095.810043
140.0,735,2104.332345
40.0,439,2109.4273
40.0,406,2114.154668
120.0,547,2120.468111
200.0,941,2131.394552
140.0,449,2136.560665
240.0,867,2146.61283
100.0,556,2153.233164
220.0,982,2166.164869
60.0,507,2172.693036
140.0,668,2181.014579
60.0,436,2186.223889
140.0,621,2193.928128
320.0,1210,2208.847852
180.0,727,2217.990623
20.0,331,2221.995759
220.0,721,2231.062517
140.0,716,2240.253303
140.0,469,2245.660709
140.0,544,2252.051486
120.0,563,2258.972106
160.0,634,2266.647356
80.0,494,2272.301965
180.0,789,2281.283813
20.0,410,2285.948689
120.0,543,2292.143109
20.0,448,2297.418082
0.0,335,2301.239859
360.0,1045,2313.354107
80.0,425,2318.187512
0.0,304,2321.660026
120.0,574,2328.294854
60.0,395,2333.459758
0.0,326,2337.474029
60.0,433,2342.703086
60.0,513,2348.755031
20.0,376,2353.212417
40.0,480,2358.987518
0.0,323,2362.96605
40.0,405,2367.996913
60.0,411,2372.955433
60.0,376,2377.494779
140.0,633,2384.947452
0.0,312,2388.576134
0.0,339,2392.684783
100.0,548,2399.046833
100.0,637,2406.545986
160.0,758,2415.441625
120.0,723,2424.946179
0.0,331,2428.881695
140.0,692,2436.954866
60.0,439,2442.296054
180.0,745,2451.321707
80.0,438,2457.139076
40.0,345,2461.193522
40.0,595,2468.161598
60.0,417,2472.952614
260.0,900,2483.480199
20.0,390,2488.118563
80.0,451,2493.413217
100.0,563,2500.094697
0.0,317,2503.855209
200.0,675,2512.336234
140.0,597,2520.365567
140.0,720,2529.529909
20.0,521,2536.791561
60.0,385,2542.16589
40.0,421,2548.222026
80.0,534,2555.29009
0.0,314,2559.457112
160.0,851,2570.133212
60.0,405,2575.262604
40.0,411,2581.042309
100.0,536,2587.529819
80.0,443,2592.782748
120.0,604,2600.081949
200.0,734,2608.613226
60.0,419,2613.987513
140.0,529,2620.001822
120.0,567,2626.700813
40.0,369,2630.828033
60.0,434,2635.802883
100.0,545,2642.347777
140.0,562,2648.792027
80.0,387,2653.267695
180.0,835,2663.075612
180.0,823,2672.749274
120.0,493,2678.306151
120.0,728,2686.622846
80.0,556,2693.496458
360.0,998,2705.869376
260.0,1006,2717.660697
80.0,478,2723.639879
60.0,454,2728.88464
200.0,692,2737.293962
340.0,1084,2750.617115
40.0,420,2755.381877
60.0,467,2760.942295
200.0,692,2769.299957
180.0,798,2778.549231
0.0,335,2782.589032
60.0,422,2787.368154
140.0,677,2795.149197
80.0,631,2802.515735
360.0,995,2814.43927
0.0,349,2818.404561
80.0,557,2825.686911
80.0,618,2833.101433
240.0,775,2842.048884
160.0,704,2850.100482
140.0,724,2858.318533
80.0,513,2864.20226
180.0,745,2873.245281
60.0,531,2879.612072
200.0,719,2888.298597
120.0,533,2894.604381
120.0,535,2900.662615
220.0,875,2911.046969
280.0,916,2921.747924
120.0,765,2930.960866
140.0,601,2937.880236
120.0,481,2943.580465
280.0,851,2953.880812
20.0,381,2958.254703
360.0,1144,2971.742943
240.0,959,2983.250073
40.0,434,2988.133175
220.0,703,2996.802888
40.0,385,3001.200915
120.0,606,3008.372169
240.0,627,3015.527136
120.0,596,3022.396307
240.0,959,3033.37503
160.0,557,3039.630145
120.0,609,3046.565252
200.0,1035,3058.50492
140.0,546,3064.755903
100.0,560,3071.402946
60.0,423,3076.32105
100.0,507,3082.124794
120.0,430,3087.177138
120.0,540,3093.410335
