# {"t_start": 1554320224.543334, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
0.0,343,5.395462
0.0,625,7.643969
0.0,429,8.978929
0.0,563,10.620518
0.0,291,11.453722
0.0,730,13.813097
0.0,443,15.416505
0.0,539,17.32117
0.0,369,18.524088
0.0,518,20.111777
0.0,296,20.991815
0.0,490,22.695873
0.0,464,24.506672
200.0,608,26.909194
0.0,720,29.536166
200.0,465,31.558754
0.0,556,33.462661
0.0,541,35.212978
0.0,609,37.642987
0.0,420,39.363407
0.0,281,41.379615
0.0,663,48.197322
0.0,350,51.472909
0.0,471,56.239405
0.0,474,61.372734
0.0,404,65.560988
0.0,352,69.070488
0.0,494,73.653606
0.0,414,77.618335
0.0,662,84.045508
0.0,406,87.843212
0.0,551,93.247068
0.0,407,97.014935
0.0,493,101.689388
200.0,551,107.685709
0.0,534,113.153044
0.0,343,116.484133
0.0,608,122.160522
0.0,411,126.19074
0.0,427,131.032574
200.0,601,137.439885
0.0,363,140.922556
0.0,488,145.600302
0.0,667,151.928765
0.0,480,156.509071
0.0,661,162.77491
0.0,479,167.288398
0.0,600,173.578507
0.0,668,179.983036
0.0,281,182.676995
0.0,538,187.929809
0.0,345,191.2643
0.0,549,196.781821
0.0,664,203.548327
0.0,500,208.413385
0.0,475,213.254398
0.0,311,216.168513
0.0,408,219.98866
0.0,563,225.280385
200.0,552,230.850389
0.0,283,233.535876
0.0,487,238.343272
0.0,467,242.765557
0.0,547,248.241333
200.0,405,252.306455
0.0,603,258.490694
0.0,428,263.015204
0.0,293,265.983827
200.0,611,272.351494
0.0,482,277.345335
0.0,543,282.830822
200.0,533,288.078856
0.0,533,293.319578
0.0,314,296.333763
200.0,604,302.243074
200.0,667,308.696284
0.0,554,314.069923
0.0,277,316.723908
0.0,460,321.206601
0.0,479,325.864508
0.0,553,331.203908
0.0,608,337.130151
0.0,474,341.67752
0.0,407,345.553079
0.0,487,350.200773
0.0,544,355.450804
0.0,533,360.555532
0.0,348,363.861993
0.0,464,368.393179
0.0,622,374.436473
0.0,665,380.886041
0.0,485,385.555188
0.0,406,389.475139
200.0,422,393.584938
0.0,531,398.759717
0.0,409,402.726808
0.0,374,406.306004
200.0,509,411.193803
200.0,343,414.527482
0.0,467,418.924862
0.0,481,423.526291
0.0,378,427.07445
200.0,341,430.263919
0.0,367,433.730126
0.0,416,437.644405
0.0,482,442.281329
0.0,399,446.07613
0.0,673,452.578928
0.0,559,457.926775
400.0,538,463.140508
0.0,339,466.410816
0.0,354,469.839977
0.0,413,473.88633
0.0,539,479.146927
0.0,539,484.654521
0.0,375,488.433801
0.0,479,493.032694
0.0,529,498.152564
200.0,566,503.594233
0.0,433,508.122595
400.0,618,514.576194
0.0,545,520.259028
0.0,658,527.282363
0.0,547,532.671632
0.0,499,537.502593
200.0,746,544.863204
0.0,407,548.843816
200.0,475,553.392471
0.0,596,559.249594
0.0,415,563.238702
0.0,535,568.329509
0.0,414,572.258679
0.0,534,577.384747
400.0,487,581.954265
0.0,504,586.707412
200.0,658,592.987982
0.0,285,595.689095
0.0,351,598.990912
0.0,292,601.694074
0.0,356,605.067026
0.0,474,609.573483
0.0,471,614.051987
200.0,542,619.264126
0.0,676,625.759912
200.0,415,629.684374
0.0,659,635.979327
200.0,608,641.763563
0.0,425,645.744413
200.0,661,652.058
0.0,293,654.834344
0.0,483,659.698103
0.0,496,665.021028
0.0,663,671.478768
0.0,489,676.12949
0.0,426,680.283843
0.0,537,685.770947
0.0,544,691.37152
0.0,477,696.29754
0.0,677,702.840849
0.0,417,706.80946
0.0,410,710.790239
0.0,381,714.432832
0.0,386,718.11621
0.0,474,722.687141
200.0,598,728.43923
0.0,531,733.540455
0.0,286,736.294102
0.0,405,740.173569
0.0,418,744.136923
200.0,413,748.099663
0.0,601,753.864371
200.0,670,760.377722
0.0,548,765.699975
0.0,413,769.706418
0.0,465,774.170279
0.0,367,777.695898
0.0,440,781.977012
0.0,540,787.162788
0.0,428,791.243962
0.0,547,796.466819
200.0,739,803.626739
0.0,527,808.702748
0.0,426,813.12081
0.0,533,818.433827
200.0,664,824.782532
0.0,408,828.629616
400.0,670,835.024998
0.0,407,838.886847
0.0,479,843.45041
0.0,410,847.310409
0.0,481,852.250569
0.0,346,855.738025
200.0,566,861.712367
0.0,432,865.965207
400.0,475,870.885192
200.0,601,876.965543
0.0,491,882.250818
0.0,480,887.119912
200.0,596,892.891749
0.0,663,899.364875
0.0,733,906.469854
0.0,286,909.318942
0.0,605,915.648224
0.0,466,920.259591
200.0,410,924.997926
0.0,278,927.936373
0.0,473,933.119291
0.0,469,938.178622
0.0,470,943.264913
0.0,614,949.819936
200.0,418,954.167699
0.0,410,958.431245
0.0,548,963.651634
0.0,354,967.033653
0.0,402,970.890203
200.0,545,976.08423
0.0,280,978.739051
0.0,410,982.683692
0.0,357,986.093659
0.0,612,991.984725
0.0,464,996.45768
0.0,542,1001.645911
0.0,533,1006.738745
0.0,461,1011.097917
