# {"t_start": 1554460806.1331735, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
20.0,338,54.895896
140.0,584,56.715988
80.0,760,59.428897
180.0,833,62.21128
100.0,529,63.890708
180.0,864,66.604739
100.0,466,68.062772
0.0,361,69.288439
0.0,312,70.245862
140.0,539,71.928903
20.0,404,73.185056
40.0,540,74.858214
240.0,953,77.865258
280.0,1150,81.483968
140.0,824,84.089898
200.0,783,88.048731
0.0,345,91.215057
40.0,457,95.413916
180.0,840,103.217876
20.0,442,107.263642
0.0,332,110.299362
180.0,795,117.678157
120.0,570,122.988632
20.0,363,127.022995
0.0,305,130.284054
20.0,420,134.297323
40.0,467,138.819219
60.0,583,144.397602
180.0,757,151.407542
80.0,507,156.103682
40.0,402,159.74855
180.0,752,166.762754
100.0,551,171.78653
40.0,386,175.328118
60.0,464,179.581655
20.0,332,182.695469
80.0,514,187.422894
120.0,604,193.096166
0.0,333,196.156507
80.0,402,199.830853
240.0,747,206.875562
60.0,498,211.485334
120.0,536,216.439937
200.0,870,224.590178
20.0,365,227.945667
40.0,439,232.003073
80.0,492,236.805014
140.0,655,243.381114
120.0,542,249.675962
80.0,475,254.243957
40.0,406,258.163023
120.0,638,264.286087
60.0,399,268.025514
140.0,713,274.750013
80.0,486,279.382512
20.0,330,282.564009
80.0,406,286.327672
120.0,726,293.992284
60.0,560,300.600315
60.0,423,305.397567
80.0,486,310.333398
0.0,306,313.261062
40.0,407,317.122732
160.0,577,322.851268
300.0,901,331.688169
80.0,536,337.136263
40.0,440,341.500448
0.0,287,344.182688
60.0,450,348.300359
60.0,465,352.55885
100.0,543,357.561185
60.0,400,361.187857
120.0,619,367.014875
60.0,579,372.570422
160.0,591,378.277368
0.0,293,381.023703
160.0,588,386.72438
120.0,564,392.420813
60.0,462,397.75636
20.0,359,401.648547
40.0,514,407.205887
280.0,914,416.747904
100.0,604,422.952673
20.0,404,427.178654
80.0,423,431.277686
160.0,877,439.323197
20.0,462,443.815143
20.0,506,449.234649
100.0,552,454.910061
260.0,843,463.809906
20.0,408,467.774575
80.0,562,473.149717
100.0,611,478.649791
20.0,328,481.589201
60.0,427,485.396177
120.0,588,490.817573
160.0,698,497.245451
40.0,473,501.641665
60.0,454,505.752026
200.0,736,512.469509
260.0,1114,522.699924
40.0,526,527.435861
80.0,504,532.06216
60.0,490,536.504493
60.0,381,539.984902
140.0,816,547.352911
80.0,474,551.668331
40.0,415,555.430146
80.0,519,560.122728
60.0,419,563.94056
0.0,315,566.771563
0.0,382,570.180179
80.0,552,575.270461
60.0,484,579.630641
0.0,324,582.601039
40.0,470,586.847159
180.0,761,594.220746
0.0,333,597.479456
60.0,441,602.10996
20.0,347,605.767772
20.0,417,609.794486
40.0,401,613.714883
40.0,381,617.384638
40.0,363,620.837024
20.0,475,625.424549
200.0,652,631.408557
80.0,488,635.784674
80.0,435,639.646184
60.0,509,644.212535
20.0,438,648.132089
80.0,574,653.313524
120.0,457,657.421516
80.0,470,661.580357
40.0,564,666.628535
40.0,394,670.117481
80.0,472,674.325685
120.0,970,683.063975
0.0,310,685.787316
20.0,432,689.664283
360.0,1027,698.970835
40.0,367,702.244659
380.0,1280,714.254287
60.0,535,719.03259
80.0,527,723.760826
60.0,567,728.873377
20.0,426,732.755918
40.0,389,736.199295
220.0,871,744.026642
120.0,559,749.03089
0.0,354,752.200085
100.0,532,756.959562
40.0,451,760.942782
40.0,410,764.791609
40.0,407,768.430733
160.0,712,774.979697
100.0,517,779.665287
100.0,594,785.072363
40.0,398,788.645894
120.0,846,796.322829
140.0,606,801.811233
20.0,406,805.460221
40.0,441,809.478234
160.0,654,815.429068
100.0,539,820.264302
40.0,351,823.388611
140.0,560,828.467727
60.0,493,832.89014
40.0,424,836.720397
120.0,693,843.015099
40.0,525,847.763246
40.0,398,851.343549
40.0,609,856.852753
20.0,403,860.487824
20.0,370,863.785707
60.0,416,867.499629
120.0,588,872.867933
80.0,534,877.691554
120.0,569,882.832761
0.0,341,885.888628
220.0,1026,895.166525
180.0,707,901.613616
40.0,447,905.623388
60.0,499,910.166934
160.0,612,915.687379
20.0,398,919.261125
120.0,580,924.481527
160.0,846,932.152665
60.0,449,936.193256
40.0,388,939.679152
20.0,443,943.624388
40.0,429,947.465665
40.0,391,950.970591
60.0,468,955.174818
100.0,507,959.756453
0.0,350,962.890403
60.0,519,967.568136
180.0,751,974.410481
60.0,450,978.473034
140.0,583,983.735862
100.0,499,988.252119
120.0,464,992.452008
80.0,531,997.584766
40.0,558,1003.511873
60.0,443,1007.662106
20.0,394,1011.412388
0.0,319,1014.452928
40.0,587,1020.208792
20.0,360,1023.69672
60.0,551,1028.794885
40.0,447,1032.975141
120.0,616,1038.926558
40.0,447,1043.344229
0.0,377,1046.946651
20.0,403,1050.830849
20.0,389,1054.746364
100.0,534,1059.604453
80.0,509,1064.552244
80.0,658,1071.374146
60.0,484,1075.957317
60.0,488,1080.763563
40.0,414,1084.789244
140.0,598,1090.895342
80.0,514,1095.989634
160.0,636,1102.294619
100.0,615,1108.153244
160.0,996,1117.164669
20.0,397,1120.694551
100.0,536,1125.553228
20.0,362,1128.764117
60.0,443,1132.69444
100.0,556,1137.687568
60.0,390,1141.123978
120.0,668,1147.131703
20.0,452,1151.145549
60.0,525,1155.860495
40.0,459,1159.952544
40.0,403,1163.635854
140.0,616,1169.188431
40.0,372,1172.956937
80.0,450,1177.651488
0.0,310,1180.547111
80.0,524,1185.984447
40.0,427,1190.190616
20.0,442,1194.593151
200.0,1174,1205.982592
80.0,514,1210.873138
60.0,481,1215.216776
40.0,398,1218.786645
20.0,377,1222.164232
20.0,313,1224.892052
60.0,419,1228.630957
60.0,501,1233.119245
40.0,426,1236.909012
140.0,676,1242.938393
20.0,348,1246.003214
100.0,562,1251.524832
0.0,537,1257.096683
20.0,359,1260.604158
40.0,377,1264.644289
200.0,710,1271.927668
40.0,383,1275.899066
80.0,587,1281.666654
180.0,669,1288.674248
20.0,397,1292.948597
40.0,465,1297.593552
60.0,446,1301.930614
20.0,381,1306.042896
40.0,455,1310.811798
320.0,1305,1323.198732
20.0,325,1326.097284
220.0,746,1333.608123
220.0,1099,1344.848057
100.0,560,1350.887
100.0,547,1356.529439
40.0,461,1361.147034
80.0,575,1366.900586
60.0,423,1370.885708
100.0,485,1375.707503
160.0,768,1382.956797
80.0,540,1388.348282
100.0,510,1393.091747
60.0,433,1396.9771
160.0,573,1403.032015
60.0,466,1407.338723
80.0,534,1413.010789
60.0,465,1417.77962
180.0,708,1425.255934
60.0,408,1429.147716
20.0,446,1433.318702
60.0,442,1437.382541
40.0,523,1442.20842
160.0,866,1450.716152
0.0,317,1453.584769
20.0,396,1457.158091
20.0,367,1460.4775
40.0,462,1464.663801
20.0,445,1468.731446
160.0,754,1476.05672
140.0,673,1483.125672
80.0,575,1488.712144
220.0,873,1497.170723
60.0,531,1502.294208
220.0,759,1509.915256
100.0,644,1516.105162
