# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554369279.9851334} 
r,l,t
140.0,598,6.605956
40.0,453,8.154625
100.0,591,10.224232
40.0,508,11.990121
80.0,668,14.313326
20.0,379,15.751603
160.0,698,18.251327
0.0,297,19.345119
100.0,479,21.088088
0.0,424,22.593964
60.0,513,24.58347
40.0,425,26.732533
100.0,495,28.617972
80.0,467,30.333934
120.0,523,32.566239
20.0,381,34.595315
60.0,492,36.753537
60.0,428,38.368431
0.0,277,39.385245
100.0,491,41.355747
40.0,425,42.934598
200.0,873,51.22787
100.0,508,57.33187
60.0,434,62.373403
60.0,631,69.547435
80.0,468,74.864904
40.0,391,79.486877
100.0,428,84.862305
60.0,433,90.668052
100.0,540,96.950261
120.0,621,104.212247
80.0,538,111.409869
40.0,432,117.89594
100.0,554,124.611787
280.0,1151,137.673983
60.0,358,141.951851
60.0,436,146.977864
100.0,466,152.722264
260.0,1016,165.693461
100.0,622,173.943366
180.0,628,181.414485
20.0,431,186.301417
20.0,377,190.549816
60.0,371,194.592422
60.0,458,199.601129
60.0,463,204.648427
60.0,371,208.676745
40.0,464,213.846281
80.0,513,219.599337
80.0,717,227.425245
20.0,371,231.424847
40.0,483,236.708559
40.0,420,241.285257
120.0,669,248.652174
60.0,510,254.240342
80.0,469,259.387775
60.0,471,264.527502
140.0,674,271.947649
20.0,355,275.808057
40.0,405,280.182572
20.0,414,284.719982
20.0,386,288.911978
100.0,549,295.057056
100.0,530,300.97828
100.0,533,306.764685
140.0,662,314.076901
20.0,433,318.817236
0.0,330,322.363577
0.0,370,326.403158
100.0,487,331.703722
40.0,431,336.608415
120.0,637,343.691568
100.0,535,349.692342
80.0,493,355.018638
120.0,561,361.203369
180.0,716,369.188444
60.0,409,373.74131
100.0,546,379.82201
20.0,337,383.561181
100.0,585,389.961773
40.0,367,394.266143
0.0,345,398.323879
100.0,563,404.606493
100.0,575,410.821782
40.0,447,415.738196
20.0,401,420.136647
100.0,679,428.238332
120.0,623,435.893099
160.0,720,444.456858
60.0,428,449.484839
120.0,588,456.301817
100.0,632,463.656282
0.0,344,468.62884
120.0,605,476.532397
20.0,456,482.279525
140.0,622,491.259769
0.0,384,496.84906
200.0,791,506.34692
140.0,630,514.208872
80.0,496,521.368994
140.0,571,529.209456
120.0,668,537.237641
120.0,658,544.738212
20.0,474,549.995368
60.0,506,555.708532
80.0,542,561.89399
40.0,418,566.636904
20.0,364,570.646664
40.0,393,575.204771
120.0,559,581.66912
140.0,674,589.877956
160.0,766,600.03513
100.0,535,606.945451
260.0,962,620.245291
140.0,718,629.951863
300.0,926,642.044116
60.0,511,648.647973
80.0,454,654.405621
40.0,421,659.740385
60.0,438,664.919557
120.0,586,672.066835
40.0,471,677.899394
220.0,797,688.32682
20.0,315,692.561344
0.0,315,696.408582
80.0,451,702.09321
180.0,748,711.580957
100.0,668,719.576377
120.0,767,729.685156
80.0,480,736.26798
120.0,649,744.793055
180.0,736,757.476655
280.0,1182,772.303114
80.0,538,778.330155
180.0,698,786.215068
80.0,506,791.855751
100.0,470,797.098727
140.0,615,803.993681
180.0,901,814.14345
20.0,421,818.80172
40.0,465,824.058706
200.0,774,832.741062
160.0,695,840.536073
80.0,437,845.391766
60.0,474,850.692157
100.0,549,856.821232
160.0,692,864.648508
120.0,511,870.411927
80.0,546,876.505282
0.0,319,880.017212
40.0,519,885.77731
100.0,503,891.639675
20.0,432,896.654584
80.0,576,903.495102
160.0,804,913.363583
60.0,514,920.623051
80.0,755,930.227038
140.0,598,937.134995
0.0,359,941.680059
140.0,572,948.536568
60.0,367,952.786602
60.0,424,958.117096
260.0,948,977.221862
340.0,951,989.505404
180.0,845,999.618725
60.0,595,1007.327526
160.0,758,1017.400737
60.0,437,1022.456874
60.0,549,1028.879618
60.0,483,1034.218989
240.0,790,1042.958417
60.0,604,1049.538992
40.0,531,1055.31461
120.0,669,1063.064192
0.0,368,1067.875805
40.0,402,1073.239677
20.0,378,1077.782415
20.0,399,1082.46113
0.0,307,1086.149256
0.0,423,1091.47837
20.0,338,1096.074365
60.0,409,1101.564667
80.0,490,1107.132508
140.0,714,1115.379639
160.0,636,1122.564248
60.0,421,1127.241328
240.0,957,1138.102683
60.0,482,1143.600785
120.0,670,1153.305663
80.0,468,1161.630167
20.0,383,1166.149072
160.0,617,1174.018649
80.0,399,1178.913326
80.0,613,1186.418303
180.0,753,1195.983616
40.0,376,1200.828276
140.0,677,1209.452722
120.0,691,1218.951995
0.0,312,1222.961327
0.0,330,1227.284127
80.0,505,1233.367955
120.0,638,1241.611018
20.0,457,1247.118116
60.0,549,1253.155543
0.0,400,1257.559723
40.0,381,1261.702241
220.0,758,1270.062091
40.0,365,1274.04253
40.0,460,1279.100093
160.0,903,1289.140496
300.0,1148,1302.5954
140.0,650,1310.857671
100.0,561,1317.817958
160.0,622,1325.913774
260.0,923,1337.358005
120.0,693,1345.741736
140.0,608,1353.44865
60.0,478,1358.921365
60.0,448,1363.836149
0.0,353,1367.718191
80.0,571,1374.065277
220.0,834,1384.189394
260.0,1055,1396.229714
140.0,745,1404.339285
80.0,528,1410.385238
220.0,790,1419.05724
120.0,541,1424.941221
260.0,805,1434.233011
60.0,522,1441.260424
60.0,418,1446.16078
180.0,947,1458.822304
120.0,742,1467.284426
200.0,789,1477.454362
120.0,659,1485.843794
80.0,530,1492.790223
60.0,501,1499.123611
20.0,364,1505.146906
20.0,376,1510.475606
200.0,869,1522.365322
60.0,425,1527.338131
80.0,598,1534.314572
80.0,525,1540.856127
20.0,403,1545.713057
220.0,921,1558.502539
100.0,528,1564.5781
0.0,349,1568.444732
140.0,650,1576.069657
20.0,421,1580.684758
160.0,766,1589.173439
140.0,747,1597.310889
40.0,601,1603.862864
60.0,527,1609.664139
160.0,615,1616.442463
180.0,892,1626.28539
60.0,464,1631.352724
60.0,418,1636.060967
40.0,365,1640.014181
40.0,369,1644.194224
160.0,901,1654.368795
80.0,417,1658.889436
140.0,732,1667.119878
0.0,305,1670.390422
0.0,361,1674.592043
160.0,696,1682.648469
200.0,757,1691.135752
40.0,350,1694.909449
0.0,370,1698.965117
0.0,313,1702.381236
80.0,502,1707.841406
180.0,718,1715.762348
240.0,1115,1728.191368
100.0,579,1735.459206
60.0,454,1740.700372
300.0,1202,1755.623079
0.0,359,1759.888589
240.0,965,1771.191377
140.0,565,1777.48289
20.0,384,1781.602129
40.0,365,1785.481686
80.0,566,1791.622464
