# {"env_id": "KangarooNoFrameskip-v4", "t_start": 1554392753.680246} 
r,l,t
0.0,469,48.619648
200.0,346,50.129897
0.0,360,51.937946
0.0,490,55.796067
0.0,498,57.70932
0.0,293,58.842654
400.0,733,61.846232
0.0,376,63.301714
200.0,603,65.636751
0.0,474,67.473771
0.0,677,70.279022
0.0,287,71.362301
0.0,612,73.936836
0.0,471,76.228274
0.0,357,77.65148
200.0,609,80.256973
0.0,549,82.506835
0.0,416,84.222899
200.0,605,86.898401
0.0,471,88.751369
0.0,482,98.380039
0.0,344,102.22974
0.0,485,107.648243
0.0,359,111.739252
200.0,476,117.031122
0.0,399,121.479966
400.0,534,128.096459
0.0,340,132.11315
0.0,560,139.30479
0.0,604,146.765574
200.0,614,154.484771
0.0,603,161.805689
0.0,287,165.211277
0.0,607,172.512265
0.0,416,177.635563
0.0,490,183.602646
0.0,482,189.526729
0.0,410,194.439559
200.0,542,201.018588
0.0,476,207.062021
0.0,547,214.0412
0.0,484,219.618228
0.0,403,224.140464
0.0,412,228.72776
0.0,466,233.982958
0.0,278,237.040761
0.0,533,243.002939
0.0,482,248.475777
0.0,352,252.886971
0.0,593,260.299428
0.0,345,264.606861
0.0,408,269.700056
0.0,682,277.828797
0.0,484,283.306659
200.0,537,289.348879
0.0,427,294.145452
0.0,290,297.321301
200.0,675,305.734228
0.0,298,309.373056
200.0,482,315.235247
0.0,447,320.640727
0.0,418,325.729417
0.0,361,330.157769
200.0,615,337.717838
200.0,511,343.945253
0.0,468,349.636824
0.0,419,354.7443
0.0,374,359.32457
0.0,365,363.795508
0.0,547,370.484748
200.0,532,377.049239
200.0,347,381.256458
0.0,372,385.765321
0.0,363,390.29201
0.0,404,395.346587
0.0,478,401.181112
0.0,443,406.9065
0.0,286,410.561289
0.0,517,417.361716
0.0,434,422.283772
0.0,725,431.245839
0.0,483,437.567024
200.0,534,444.953069
0.0,569,452.02974
0.0,530,458.607827
200.0,416,464.249427
0.0,420,469.750069
0.0,530,476.215816
0.0,426,481.161692
0.0,544,487.545266
0.0,662,495.479748
0.0,404,500.07093
0.0,482,505.650386
0.0,432,510.499279
0.0,400,515.553878
200.0,463,521.689315
0.0,419,526.834301
0.0,408,531.751386
0.0,282,535.195905
0.0,288,538.704507
0.0,472,544.70628
0.0,350,549.283874
0.0,411,554.453622
200.0,540,561.250223
0.0,406,566.2373
0.0,535,573.161168
0.0,281,576.505431
0.0,529,583.203569
0.0,463,589.049802
0.0,288,592.632392
0.0,471,598.393755
0.0,553,605.548031
200.0,649,614.113965
0.0,279,617.715136
0.0,368,622.752941
0.0,678,632.007944
0.0,417,637.523965
0.0,492,643.528537
0.0,560,650.414103
0.0,494,656.459235
0.0,493,662.564383
0.0,408,668.045284
0.0,613,675.804085
0.0,289,681.300812
0.0,551,688.478816
0.0,545,695.906288
0.0,521,702.728467
200.0,595,710.585198
0.0,417,715.871045
0.0,471,721.332182
0.0,367,725.502906
0.0,671,733.165951
0.0,487,738.70816
0.0,613,745.628607
200.0,483,751.139862
200.0,560,757.516829
0.0,417,762.197306
200.0,462,767.355506
0.0,302,770.716486
0.0,447,775.799443
0.0,535,781.833327
0.0,609,788.838578
0.0,286,791.999129
400.0,484,797.495424
0.0,396,802.003374
0.0,547,808.160863
0.0,543,814.295477
0.0,492,819.832662
200.0,481,825.215261
0.0,480,830.615823
0.0,343,834.4605
0.0,367,838.542605
0.0,281,841.68118
0.0,365,845.78221
0.0,537,851.831066
200.0,534,857.890839
0.0,552,864.104216
0.0,546,870.304628
200.0,431,875.171579
0.0,644,882.45911
0.0,581,889.036484
0.0,538,895.159613
200.0,538,901.224414
0.0,482,906.695749
200.0,527,912.590007
0.0,537,918.642786
0.0,635,925.803654
0.0,419,930.509065
0.0,562,936.897945
200.0,583,943.493299
0.0,404,948.072049
0.0,490,953.582306
0.0,376,957.801073
0.0,412,962.449625
0.0,554,968.743744
0.0,530,974.724798
0.0,478,980.118341
0.0,528,986.077424
0.0,606,992.992897
200.0,477,998.435362
0.0,479,1003.848901
0.0,284,1007.007437
0.0,648,1014.301913
